№ п/п,Дата обнародования информации о признании деятельности организации нежелательной на территории Российской Федерации,Дата принятия решения Генеральной прокуратурой Российской Федерации о признании деятельности организации нежелательной на территории Российской Федерации,Дата принятия решения Генеральной прокуратурой Российской Федерации об отмене решения о признании деятельности организации нежелательной на территории Российской Федерации,Дата распоряжения Минюста России о включении в перечень,Дата распоряжения Минюста России об исключении из перечня,Наименование организации,Номер распоряжения Минюста России о включении в перечень,Номер распоряжения Минюста России об исключении из перечня,Статус
137,,17.01.2024,,05.02.2024,,IndustriALL Global Union («Глобальный союз IndustriALL») (Швейцария),138-р,,Включена
138,,19.01.2024,,07.02.2024,,"Russian Election Monitor (REM), ФРГ",152-р,,Включена
139,,23.01.2024,,08.02.2024,,Article 19 (Великобритания),156-р,,Включена
140,,15.01.2024,,08.02.2024,,"Mnenie media z.s. («Мнение медиа»), Чешская Республика",157-р,,Включена
141,,25.01.2024,,16.02.2024,,"Anarchist Black Cross Federation (ABCF, «Федерация анархического черного креста») (США)",207-р,,Включена
142,,02.02.2024,,20.02.2024,,"Radio Free Europe/Radio Liberty (RFE/RL) («Радио Свободная Европа/Радио Свобода», «РСЕ/РС») (США)",212-р,,Включена
143,,14.02.2024,,01.03.2024,,"Deutsche Gesellschaft für Osteuropakunde («Германское общество изучения Восточной Европы»), ФРГ",254-р,,Включена
144,,14.02.2024,,01.03.2024,,"Friedrich-Ebert-Stiftung e.V. (Friedrich Ebert Stiftung, «Зарегистрированный Союз «Фонд имени Фридриха Эберта») (Германия)",256-р,,Включена
145,,14.02.2024,,01.03.2024,,"XZ gGmbH, ФРГ",257-р,,Включена
146,,14.02.2024,,01.03.2024,,"OWEN – Mobile Akademie für Geschlechterdemokratie e.V. («Мобильная академия поддержки гендерной демократии и миротворчества»), ФРГ",258-р,,Включена
147,,19.02.2024,,13.03.2024,,Lew Kopelew Forum («Форум имени Льва Копелева») (ФРГ),300-р,,Включена
148,,26.02.2024,,18.03.2024,,American Councils for International Education (США),324-р,,Включена
149,,26.02.2024,,18.03.2024,,Cultural Vistas (США),325-р,,Включена
150,,26.02.2024,,18.03.2024,,Institute of International Education (США),326-р,,Включена
151,,27.02.2024,,18.03.2024,,"Russians Against War Antalya (RAWA) («Антивоенное движение Антальи», «Антивоенное сообщество Антальи») (Турецкая Республика)",327-р,,Включена
152,,14.02.2024,,25.03.2024,,"Fundacja Otwarty Dialog («Фонд «Открытый диалог»), Республика Польша",363-р,,Включена
153,,13.03.2024,,02.04.2024,,"Munk School of Global Affairs  and Public Policy («Школа международных отношений и государственной политики им. Питера Мунка»), Канада",406-р,,Включена
154,,13.03.2024,,02.04.2024,,"Russian Canadian Democratic Alliance, RCDA («Российско-канадский демократический альянс»), Канада",407-р,,Включена
155,,13.03.2024,,02.04.2024,,"Norman Paterson School of International Affairs («Школа международных отношений им. Нормана Патерсона»), Канада",408-р,,Включена
156,,29.03.2024,,16.04.2024,,"Center for Civil Liberties («Центр Громадянських Свобод», «Общественная организация «Центр Гражданских Свобод») (Украина)",463-р,,Включена
157,,13.03.2024,,16.04.2024,,Boris Nemtsov Foundation for Freedom («Фонд Бориса Немцова за Свободу») (ФРГ),464-р,,Включена
158,,13.03.2024,,16.04.2024,,"Friedrich-Naumann-Stiftung für die Freiheit (Friedrich Naumann Foundation, «Фонд имени Фридриха Науманна за свободу») (Германия)",465-р,,Включена
159,,09.04.2024,,25.04.2024,,"Feminist Antiwar Resistance («Феминистское антивоенное сопротивление», «ФАС»)",513-р,,Включена
160,,11.04.2024,,02.05.2024,,"Ğalğay Kortamuqalen Komitet («Комитет Ингушской Независимости», «КИН», «Комитет независимости Ингушетии») (Турецкая Республика)",529-р,,Включена
161,,24.04.2024,,15.05.2024,,«Центр дослiдження безпекового середовища «Прометей» («Центр исследования среды безопасности «Прометей») (Украина),598-р,,Включена
162,,25.04.2024,,17.05.2024,,"ККК - Stop Occupation of Karelia, Эстонская Республика",600-р,,Включена
163,,24.04.2024,,17.05.2024,,Мiжнародний благодiйний фонд «Повернись живим» («Международный благотворительный фонд «Вернись живым») (Украина),601-р,,Включена
164,,06.05.2024,,21.05.2024,,"Freedom House, Inc. («Фридом Хаус») (США)",619-р,,Включена
165,,07.05.2024,,24.05.2024,,SOTA media («СОТА медиа») (Литовская Республика),633-р,,Включена
166,,13.05.2024,,03.06.2024,,"«Лiберально-демократична Лiга Украïни»  (Liberal Democratic League of Ukraine,  «Либерально-демократическая Лига Украины») (Украина)",675-р,,Включена
167,,30.05.2024,,14.06.2024,,"Deutsches Historisches Institut Moskau  («Германский исторический институт в Москве»), ФРГ",720-р,,Включена
168,,03.06.2024,,21.06.2024,,"Great Commission Media Ministries (GCMM, «Медиа Министерство Великое Поручение», «Служба СМИ миссии «Великого поручения») (Канада)",750-р,,Включена
169,,03.06.2024,,21.06.2024,,"International Russian Radio & Television (IRR/TV, «Международное русское радио и телевидение») (Финляндия)",751-р,,Включена
170,,03.06.2024,,21.06.2024,,"Great Commission Media Ministries (GCMM, «Медиа Министерство Великое Поручение», «Служба СМИ миссии «Великого поручения») (США)",752-р,,Включена
171,,30.05.2024,,01.07.2024,,"Dekoder – gGmbH  (Dekoder – gGesselschaft mbH, Dekoder), ФРГ",782-р,,Включена
172,,11.06.2024,,01.07.2024,,"Center for Strategic  and International Studies (CSIS, «Центр стратегических и международных исследований») (США)",783-р,,Включена
173,,20.06.2024,,08.07.2024,,"Venajan Demokratian Puolesta («Демократическое сообщество русскоязычных в Финляндии», ДСРФ), Финляндская Республика",850-р,,Включена
174,,20.06.2024,,08.07.2024,,"Vuoksi Ry («Вуокси РЮ»), Финляндская Республика",851-р,,Включена
175,,20.06.2024,,10.07.2024,,MitOst e.V. (Германия),864-р,,Включена
176,,26.06.2024,,10.07.2024,,"The John Smith Trust (JST, «Фонд Джона Смита») (Великобритания)",865-р,,Включена
177,,03.07.2024,,17.07.2024,,The Moscow Times («Москоу Таймс») (Королевство Нидерландов),895-р,,Включена
178,,01.07.2024,,18.07.2024,,Carnegie Endowment for International Peace («Фонд Карнеги за Международный Мир») (США),896-р,,Включена
179,,16.07.2024,,02.08.2024,,"Assemblée des Peuples du Caucase (Assembly of the Peoples of the Caucasus, «Ассамблея народов Кавказа») (Французская Республика)",974-р,,Включена
180,,16.07.2024,,05.08.2024,,"EF Education First, Швейцария",978-р,,Включена
181,,16.07.2024,,05.08.2024,,Fundacja OSTMOST («Фонд «ОСТМОСТ») (Республика Польша),979-р,,Включена
